trial_number,time_to_immunise_seconds
1,0.001001119613647461
2,0.00238037109375
3,0.002020120620727539
4,0.002000093460083008
5,0.0013027191162109375
6,0.0015082359313964844
7,0.002193450927734375
8,0.0011038780212402344
9,0.0020945072174072266
10,0.0020554065704345703
11,0.001054525375366211
12,0.001046895980834961
13,0.0011932849884033203
14,0.0023984909057617188
15,0.0010998249053955078
16,0.0010917186737060547
17,0.0020055770874023438
18,0.0020437240600585938
19,0.0020613670349121094
20,0.0009987354278564453
21,0.001001119613647461
22,0.0021724700927734375
23,0.0019991397857666016
24,0.0010051727294921875
25,0.0023920536041259766
26,0.0011200904846191406
27,0.002532482147216797
28,0.0020990371704101562
29,0.0026013851165771484
30,0.001005411148071289
