trial_number,time_to_immunise_seconds
1,0.005120754241943359
2,0.0031681060791015625
3,0.0031435489654541016
4,0.0033054351806640625
5,0.0026144981384277344
6,0.001744985580444336
7,0.0009567737579345703
8,0.001771688461303711
9,0.0013709068298339844
10,0.001291513442993164
11,0.0014781951904296875
12,0.0009367465972900391
13,0.0013034343719482422
14,0.0010058879852294922
15,0.0013506412506103516
16,0.0017235279083251953
17,0.001768350601196289
18,0.0010142326354980469
19,0.0009653568267822266
20,0.00095367431640625
21,0.0012085437774658203
22,0.0009391307830810547
23,0.0016841888427734375
24,0.003107309341430664
25,0.0012049674987792969
26,0.0011374950408935547
27,0.0009655952453613281
28,0.0008862018585205078
29,0.0008533000946044922
30,0.0009894371032714844
